"'C67H78Fe2N4O'
",1
"'C63H74Cl2CoFe2N4O3'
",1
"'C49H56Fe2N4O2'
",1
"'C65H91Cl2Fe2N5O4'
",1
"'C95H121BFe2N4O7.5'
",1
"'C49H56Cl2Fe2N4O2'
",1
"'C68.09H91.24Fe2N4O4.53'
",1
"'C52H62AuF3N3O5.5S'
",1
"'C134H218B2F8FeN10O3'
",1
"'C134H218B2F8N10O3Zn'
",1
"'C16H19FO2'
",1
"'C28H20O2'
",1
"'C21H19F6N4PRu'
",2
"'C28H35F6N4OPRu'
",1
"'C25H21BF7N3Ru'
",1
"'C31H26F3N3O3RuS'
",1
"'C12H13NO2S'
",1
"'C29H18Cr2O9Rh2'
",1
"'C12H11ClN2O6S'
",1
"'C12H12O3'
",1
"'Nd3O7Ta'
",3
"'Eu0.9O7Sm2.1Ta'
",1
"'C16H26O6S'
",1
"'C22H20O4'
",1
"'C18H27.88FN3O3.94'
",1
"'C39H43Cl2N3O4'
",1
"'C65.2H70.2Cl2.6N6NiO0.4'
",1
"'C201H227N18Ni3'
",1
"'C66H73BrCl2N6Ni'
",1
"'C66.5H72Cl5N6Ni'
",1
"'C110H100I2N12Ni2'
",1
"'C24H32B3PZn'
",1
"'C17H23B2MgN4'
",1
"'C8H16B2CaN4'
",1
"'C17H20B2MnN4'
",1
"'C20H26B2MnN4'
",2
"'C6.5H11BMn0.5N'
",1
"'C20H32B4N4Zn2'
",1
"'C13H22B2N2Zn'
",1
"'C22H30B2MnN5'
",1
"'C20H24B2MnN4S2'
",1
"'C324H240Cu12N12O108Zn12'
",1
"'C40H87MoO12Si3'
",1
"'C72H162Mo2N2O24Si6'
",1
"'C37H81MoO13Si3'
",1
"'C36H81MoNO13Si3'
",1
"'C38H85MoO12Si3'
",1
"'C40H89MoO12Si3'
",1
"'C36H81MoO13Si3'
",1
"'C36H81MoO12Si3'
",1
"'C36MoNO12Si3'
",1
"'C106H96Mg3N6O26'
",1
"'C96.38H67.56Mg3N2.79O22.79'
",1
"'C56H83.92F3NO7.96S'
",1
"'C10H13N3O3'
",1
"'C28H32N2O32S4Zn5'
",1
"'C12H8Cl2O2'
",2
"'C10H20N2O12'
",1
"'C5H8N2OS'
",1
"'C58H60Cl2Fe2N10O10'
",1
"'C12H36F18FeO6P3S6'
",1
"'C30H34ClFeN3'
",1
"'C39H51FeN2'
",1
"'C46H42ClFeN3'
",1
"'C69H93Fe2N5'
",1
"'C4H11N5O6S'
",1
"'C26H23NO'
",1
"'C12H25Cl3CoN4'
",1
"'C42H29BrN2O4S'
",1
"'C39H35BrN2O3'
",1
"'C48H33BrN2O4S'
",1
"'C35H25BrN2O2'
",2
"'Cr2Mg2O5'
",1
"'C40H46B2F8N2O4P2'
",1
"'C74H66B2F8N2O4P2'
",1
"'C40H46N2O4P2'
",1
"'C82H76Cl4N2O4P2'
",1
"'C13H16O2'
",2
"'C13H18O2'
",1
"'C17H16O2'
",2
"'O9PuW2'
",2
"'CeH2O9W2'
",1
"'O9PrW2'
",1
"'H0LaO9W2'
",1
"'AmHO5W'
",1
"'NdO9W2'
",1
"'C24H62N2O7S'
",1
"'C210H154Br2Cu6F18N30O24'
",1
"'C14H17NO'
",2
"'C20H21NO'
",2
"'C15H10ClNO'
",1
"'C19H18ClNO'
",1
